mesh_id,trait_portal,similarity,source,subsource,n_rows
['D006111'],gcat_trait_Graves_disease,0.55,pigean,gcat,19
"['D001260', 'D001943', 'D002971', 'D004476', 'D005199', 'D006223', 'D009634', 'D013274', 'D016864', 'D020820', 'D050719', 'D056735']",Hereditary_breast_cancer_Orphanet_227535,0.548,pigean,orphanet,16
"['D001260', 'D029242']",Leber_hereditary_optic_neuropathy_Orphanet_104,0.548,pigean,orphanet,45
['D011085'],gcat_trait_polycystic_ovary_syndrome,0.546,pigean,gcat,31
['D011085'],PCOSadjAge,0.546,pigean,portal,68
['D011085'],PCOS,0.546,pigean,portal,65
"['D013736', 'D009373']",gcat_trait_testicular_carcinoma,0.54,pigean,gcat,32
"['D000015', 'D002526', 'D006223', 'D007006', 'D007248', 'D009136', 'D012174', 'D020788', 'D052177', 'D057130', 'D058747']",BardetBiedl_syndrome_Orphanet_110,0.539,pigean,orphanet,24
"['D000168', 'D002178', 'D002971', 'D003398', 'D007006', 'D008607', 'D010009', 'D017436', 'D058747']",Normosmic_congenital_hypogonadotropic_hypogonadism_Orphanet_432,0.539,pigean,orphanet,34
"['D000015', 'D000168', 'D002971', 'D003398', 'D007006', 'D008607', 'D010009', 'D017436', 'D058747']",Kallmann_syndrome_Orphanet_478,0.539,pigean,orphanet,23
"['D001176', 'D007018', 'D008607', 'D008661', 'D011218', 'D019465']",PraderWilli_syndrome_Orphanet_739,0.537,pigean,orphanet,6
"['D001848', 'D003286', 'D004479', 'D008382', 'D008661', 'D008945', 'D009503', 'D056846']",Autosomal_dominant_severe_congenital_neutropenia_Orphanet_486,0.537,pigean,orphanet,8
"['D000544', 'D000941', 'D001281', 'D002037', 'D002311', 'D002312', 'D002313', 'D002386', 'D006332', 'D006344', 'D008133', 'D008305', 'D008661', 'D008831', 'D009135', 'D009136', 'D009202', 'D009634', 'D010235', 'D011371', 'D012804', 'D014693', 'D017696', 'D019571', 'D020388', 'D020389', 'D020774', 'D020914', 'D044542', 'D049310', 'D052496', 'D053840', 'D057180', 'D058494']",Familial_isolated_dilated_cardiomyopathy_Orphanet_154,0.537,pigean,orphanet,59
"['D000544', 'D000941', 'D002311', 'D008661', 'D020774', 'D028243', 'D057180']",Earlyonset_autosomal_dominant_Alzheimer_disease_Orphanet_1020,0.537,pigean,orphanet,36
"['D000544', 'D000941', 'D001281', 'D002037', 'D002311', 'D002312', 'D002313', 'D002386', 'D002607', 'D006332', 'D006344', 'D006627', 'D008133', 'D008305', 'D008661', 'D008831', 'D009135', 'D009136', 'D009202', 'D009447', 'D009634', 'D010235', 'D011371', 'D012804', 'D014693', 'D017696', 'D018305', 'D019571', 'D020388', 'D020389', 'D020774', 'D020914', 'D044542', 'D049310', 'D052496', 'D053840', 'D057180', 'D058494']",Neuroblastoma_Orphanet_635,0.537,pigean,orphanet,9
"['D000742', 'D006059', 'D006223', 'D006551', 'D009404', 'D016471', 'D023961', 'D040181', 'D058627']",46XX_gonadal_dysgenesis_Orphanet_243,0.537,pigean,orphanet,15
"['D008661', 'D010264', 'D010300', 'D020734']",Youngonset_Parkinson_disease_Orphanet_2828,0.537,pigean,orphanet,26
"['D008661', 'D056784']",CACH_syndrome_Orphanet_135,0.537,pigean,orphanet,4
"['D006201', 'D008661', 'D028361']",Isolated_complex_III_deficiency_Orphanet_1460,0.537,pigean,orphanet,36
"['D005199', 'D006223', 'D008661', 'D011471', 'D016864', 'D058627']",Familial_prostate_cancer_Orphanet_1331,0.537,pigean,orphanet,24
['D008661'],3methylglutaconic_aciduria_Orphanet_289902,0.537,pigean,orphanet,10
['D047808'],Adrenogenital_syndrome_Orphanet_181412,0.535,pigean,orphanet,65
['D016884'],Severe_immunemediated_enteropathy_Orphanet_94075,0.534,pigean,orphanet,32
"['D010859', 'D040181', 'D056730']",SilverRussell_syndrome_Orphanet_813,0.534,pigean,orphanet,38
"['D003414', 'D006061', 'D006932', 'D016649', 'D050090', 'D053627', 'D055036', 'D058490', 'D058531']",46XY_complete_gonadal_dysgenesis_Orphanet_242,0.533,pigean,orphanet,17
['D058490'],46XY_difference_of_sex_development_Orphanet_98085,0.533,pigean,orphanet,67
"['D006061', 'D006344', 'D006345', 'D006548', 'D013771', 'D016649', 'D050090', 'D053627', 'D055036', 'D058490', 'D058531']",46XY_partial_gonadal_dysgenesis_Orphanet_251510,0.533,pigean,orphanet,31
['D000224'],gcat_trait_Genetic_chronic_primary_adrenal_insufficiency,0.532,pigean,gcat,17
['D000224'],Addison,0.532,pigean,portal,52
"['D000077273', 'D002819', 'D003409']",Differentiated_thyroid_carcinoma_Orphanet_146,0.531,pigean,orphanet,22
['D006073'],gcat_trait_uric_acid_measurement,0.53,pigean,gcat,67
"['D001176', 'D007018', 'D008607', 'D019465']",PraderWilli_syndrome_due_to_paternal_deletion_of_15q11q13_type_2_Orphanet_177904,0.53,pigean,orphanet,4
"['D001176', 'D007018', 'D008607', 'D019465']",PraderWilli_syndrome_due_to_paternal_deletion_of_15q11q13_type_1_Orphanet_177901,0.53,pigean,orphanet,4
"['D006073', 'D014527']",gcat_trait_urate_measurement,0.53,pigean,gcat,66
"['D004827', 'D004831', 'D004832', 'D006929', 'D013036', 'D065768']",Childhood_absence_epilepsy_Orphanet_64280,0.53,pigean,orphanet,20
"['D001145', 'D001281', 'D002037', 'D002311', 'D003402', 'D006929', 'D008133', 'D009135', 'D012804', 'D014693', 'D029593', 'D029597', 'D053840']",RomanoWard_syndrome_Orphanet_101016,0.53,pigean,orphanet,46
"['D001145', 'D001281', 'D001321', 'D002037', 'D002311', 'D003402', 'D006929', 'D008133', 'D009135', 'D012804', 'D013576', 'D014693', 'D029593', 'D029597', 'D053840', 'D065886']",Familial_long_QT_syndrome_Orphanet_768,0.53,pigean,orphanet,45
"['D000799', 'D001145', 'D001281', 'D001321', 'D002037', 'D002311', 'D003402', 'D006929', 'D008133', 'D009135', 'D012804', 'D013576', 'D014693', 'D029593', 'D029597', 'D053840', 'D065886']",Nonhistaminic_angioedema_Orphanet_658,0.53,pigean,orphanet,39
['D006073'],gcat_trait_gout,0.53,pigean,gcat,30
"['D002493', 'D002524', 'D004831', 'D004832', 'D006929', 'D020190', 'D056784']",Juvenile_myoclonic_epilepsy_Orphanet_307,0.53,pigean,orphanet,33
['D011686'],Disorder_of_purine_or_pyrimidine_metabolism_Orphanet_79224,0.53,pigean,orphanet,47
"['D007018', 'D025962', 'D058499']",Combined_pituitary_hormone_deficiencies_genetic_forms_Orphanet_95494,0.53,pigean,orphanet,22
['D007018'],Pituitary_deficiency_Orphanet_101957,0.53,pigean,orphanet,57
"['D000326', 'D004062', 'D005158', 'D058165']",22q112_deletion_syndrome_Orphanet_567,0.523,pigean,orphanet,7
['D003409'],Congenital_hypothyroidism_Orphanet_442,0.521,pigean,orphanet,32
['D047748'],Cushing_disease_Orphanet_96253,0.52,pigean,orphanet,45
"['D000015', 'D000848', 'D002971', 'D002972', 'D004476', 'D008844', 'D008850', 'D016649', 'D017880']",Cleft_lippalate_Orphanet_199306,0.516,pigean,orphanet,27
"['D000848', 'D002971', 'D008844', 'D016649', 'D017880']",Isolated_split_handsplit_foot_malformation_Orphanet_2440,0.516,pigean,orphanet,13
"['D000015', 'D002925', 'D003398', 'D004613', 'D007246', 'D007248', 'D016649', 'D020788', 'D050090', 'D052177', 'D053627', 'D054331', 'D057130', 'D058531']",Male_infertility_with_azoospermia_or_oligozoospermia_due_to_single_gene_mutation_Orphanet_399805,0.516,pigean,orphanet,34
['D058489'],46XX_difference_of_sex_development_Orphanet_2982,0.515,pigean,orphanet,43
['D058489'],Genetic_46XX_difference_of_sex_development_Orphanet_325697,0.515,pigean,orphanet,43
"['D000312', 'D054882']",Congenital_adrenal_hyperplasia_Orphanet_418,0.515,pigean,orphanet,43
"['D000312', 'D002311', 'D004476', 'D009634', 'D018210', 'D044542', 'D054882', 'D056735']",Noonan_syndrome_Orphanet_648,0.515,pigean,orphanet,47
"['D001932', 'D003123', 'D008286', 'D008382', 'D013921', 'D014923', 'D040181', 'D055653', 'D055847']",Lynch_syndrome_Orphanet_144,0.515,pigean,orphanet,26
"['D000361', 'D004393', 'D006130', 'D014923', 'D040181']",Isolated_agammaglobulinemia_Orphanet_229717,0.513,pigean,orphanet,20
