mesh_id,indication_mesh_id,indication_mesh_term,sim_ontology,sim_semantic,sim_gap,bucket,sample_genes_ontology_side,sample_genes_semantic_side
"['D042643', 'D054369', 'D018826', 'D042683', 'D001142', 'D003546', 'D015415', 'D055418', 'D002918', 'D007791', 'D051547', 'D064094', 'D007249', 'D008071', 'D019056', 'D012694', 'D013926', 'D018180', 'D053220', 'D015703', 'D015820', 'D000071451', 'D002402', 'D004815', 'D000071858', 'D037502', 'D037541', 'D000077155', 'D053722', 'D020780', 'D000071656', 'D053495', 'D018384', 'D053146', 'D037663', 'D008659', 'D019040', 'D019007', 'D008074', 'D047889', 'D053264', 'D000071681', 'D014568', 'D014842', 'D003598', 'D048868', 'D062727', 'D002394', 'D000075983', 'D011956', 'D004093', 'D047150', 'D000070816', 'D053671', 'D008666', 'D013939', 'D006128']",D007249,Inflammation,1.0,0.1214277595281601,0.8785722404718399,ontology_only,"ACE2,ADA,ADAM17,ADAMTS5,ADCYAP1R1","ACE2,ADA,ADAM17,ADAMTS5,ADCYAP1R1"
"['D000015', 'D000073376', 'D001168', 'D002658', 'D003638', 'D004392', 'D004421', 'D004476', 'D004831', 'D005350', 'D006228', 'D006313', 'D006319', 'D007634', 'D008607', 'D013036', 'D014564', 'D014849', 'D014929', 'D017495', 'D019280', 'D052245', 'D056266']",D003320,Corneal Ulcer,0.92,0.0422360971570014,0.8777639028429987,ontology_only,"NGFR,TGFB1","NGFR,TGFB1"
"['D002386', 'D003638', 'D009135', 'D014929', 'D015785']",D052245,Usher Syndromes,0.974,0.0988546162843704,0.8751453837156296,ontology_only,"CLRN1,MYO7A,USH2A","CLRN1,MYO7A,USH2A"
"['D000080345', 'D004827', 'D007690', 'D008607', 'D010013', 'D010022', 'D010024', 'D012174', 'D012178', 'D015576', 'D018630', 'D040181', 'D065768', 'D065886']",D007690,Polycystic Kidney Diseases,1.0,0.1257825493812561,0.8742174506187439,ontology_only,"CSF1R,EGFR,ERBB2,KDR,MYC","CSF1R,EGFR,ERBB2,KDR,MYC"
"['D001281', 'D001321', 'D002037', 'D002311', 'D008133', 'D012804', 'D013576', 'D014693', 'D053840', 'D065886']",D014693,Ventricular Fibrillation,1.0,0.1263984739780426,0.8736015260219574,ontology_only,"ADRB1,ADRB2,KCNH2,SCN5A","ADRB1,ADRB2,KCNH2,SCN5A"
"['D001254', 'D004476', 'D005199', 'D005909', 'D007184', 'D014923', 'D016864', 'D056660']",D005199,Fanconi Anemia,1.0,0.128774955868721,0.871225044131279,ontology_only,"ALDH2,KIT","ALDH2,KIT"
"['D000544', 'D000941', 'D002311', 'D004392', 'D004393', 'D008661', 'D010900', 'D020774', 'D028243', 'D040181', 'D057180']",D057180,Frontotemporal Dementia,1.0,0.1290824711322784,0.8709175288677216,ontology_only,"IL10,TNF","IL10,TNF"
"['D000015', 'D003638', 'D004392', 'D004421', 'D004476', 'D004831', 'D006044', 'D006228', 'D006319', 'D007634', 'D008661', 'D012640', 'D013036', 'D015209', 'D020754', 'D052177', 'D052245', 'D056266', 'D056784', 'D065886']",D003320,Corneal Ulcer,0.92,0.0500173345208168,0.8699826654791832,ontology_only,"NGFR,TGFB1","NGFR,TGFB1"
"['D001049', 'D009157', 'D020294', 'D020739', 'D020754']",D001049,Apnea,1.0,0.1307328343391418,0.8692671656608582,ontology_only,"GRIA1,HRH3,HTR3A,SLC6A2,SLC6A3","GRIA1,HRH3,HTR3A,SLC6A2,SLC6A3"
"['D000015', 'D000077428', 'D001791', 'D002526', 'D004476', 'D008415', 'D008607', 'D009634', 'D012174', 'D013920', 'D013921', 'D014923', 'D015470', 'D016116', 'D019871', 'D046152', 'D054990', 'D056735', 'D057130']",D012174,Retinitis Pigmentosa,1.0,0.1330247223377227,0.8669752776622773,ontology_only,"DHFR,ERN1,FGF2,ITGB3,TNF","DHFR,ERN1,FGF2,ITGB3,TNF"
"['D000015', 'D000077428', 'D001791', 'D002526', 'D004476', 'D008415', 'D008607', 'D009634', 'D012174', 'D013920', 'D013921', 'D014923', 'D015470', 'D016116', 'D019871', 'D046152', 'D054990', 'D056735', 'D057130']",D002526,Cerebellar Diseases,1.0,0.1337129473686218,0.8662870526313782,ontology_only,ALOX15,ALOX15
"['D000015', 'D000071700', 'D000743', 'D002526', 'D002658', 'D003645', 'D006849', 'D008268', 'D008607', 'D009084', 'D009136', 'D009755', 'D009958', 'D012164', 'D012174', 'D014786', 'D015417', 'D015862', 'D020788', 'D040181', 'D052245', 'D057130', 'D058494', 'D065886']",D052245,Usher Syndromes,1.0,0.134282574057579,0.865717425942421,ontology_only,"CLRN1,MYO7A,USH2A","CLRN1,MYO7A,USH2A"
"['D003920', 'D003922', 'D003924', 'D006946', 'D010179', 'D015835', 'D020820', 'D044903']",D003920,Diabetes Mellitus,1.0,0.134290874004364,0.865709125995636,ontology_only,"ABCA1,ABCC8,ABCC9,ACACA,ACE","ABCA1,ABCC8,ABCC9,ACACA,ACE"
"['D003638', 'D014849', 'D017496']",D014820,Vitiligo,0.925,0.0599623098969459,0.8650376901030541,ontology_only,"JAK3,MC1R","JAK3,MC1R"
"['D009136', 'D012174', 'D058494']",D012174,Retinitis Pigmentosa,1.0,0.1352907121181488,0.8647092878818512,ontology_only,"FGF2,ITGB1","FGF2,ITGB1"
"['D003638', 'D006319', 'D007634', 'D007938', 'D015473']",D007634,Keratitis,1.0,0.1359063684940338,0.8640936315059662,ontology_only,HGF,HGF
"['D000544', 'D000690', 'D002311', 'D009386', 'D010001', 'D013494', 'D019150', 'D020774', 'D057180']",D002311,"Cardiomyopathy, Dilated",1.0,0.1365507841110229,0.863449215888977,ontology_only,"BAG3,DAG1,HDAC6,LMNA","BAG3,DAG1,HDAC6,LMNA"
['D014842'],D006467,Hemophilia A,0.878,0.0158538054674863,0.8621461945325137,ontology_only,"CD4,VWF","CD4,VWF"
